WK_ID,AREA_ID,BASIN_ID,KOMITMEN_ID,JENIS_KEGIATAN_ID,HOLDING_ID,JENIS_WK_ID,TIPE_KEGIATAN_ID,JENIS_UNIT_ID,HDR_PSC_ID
('WK00000380',10,9,2,60,6,367,366,31,5),
('WK00000380',10,9,2,215,6,367,366,30,5),
('WK00000380',10,9,2,103,6,367,366,29,5),
('WK00000380',10,9,2,60,6,367,366,31,5),
('WK00000380',10,9,2,212,6,367,366,32,5),
('WK00000380',10,9,2,103,6,367,366,29,5),
('WK00000380',10,9,2,60,6,367,366,31,5),
('WK00000380',10,9,2,213,6,367,366,32,5),
('WK00000380',10,9,2,103,6,367,366,29,5),
('WK00000380',10,9,2,60,6,367,366,31,5),
('WK00000380',10,9,2,134,6,367,366,29,5),
('WK00000380',10,9,2,209,6,367,366,33,5),
('WK00000381',10,0,1,60,17,367,366,31,16),
('WK00000381',10,0,1,99,17,367,366,29,16),
('WK00000381',10,0,1,60,17,367,366,31,16),
('WK00000381',10,0,1,99,17,367,366,29,16),
('WK00000381',10,0,1,197,17,367,366,30,16),
('WK00000381',10,0,1,60,17,367,366,31,16),
('WK00000381',10,0,1,60,17,367,366,31,16),
('WK00000381',10,0,1,99,17,367,366,29,16),
('WK00000511',3,2,1,243,13,367,366,31,59),
('WK00000511',3,2,1,196,13,367,366,30,59),
('WK00000384',5,10,2,89,4,367,366,29,34),
('WK00000384',5,10,2,87,4,367,366,31,34),
('WK00000384',5,10,2,129,4,367,366,30,34),
('WK00000384',5,10,2,73,4,367,366,31,34),
('WK00000384',5,10,2,46,4,367,366,29,34),
('WK00000388',9,12,3,242,5,367,366,31,52),
('WK00000388',9,12,3,154,5,367,366,29,52),
('WK00000388',9,12,3,154,5,367,366,29,52),
('WK00000388',9,12,3,154,5,367,366,29,52),
('WK00000499',0,11,2,248,9,367,366,31,0),
('WK00000499',0,11,2,105,9,367,366,32,0),
('WK00000499',0,11,2,123,9,367,366,30,0),
('WK00000499',0,11,2,46,9,367,366,29,0),
('WK00000499',0,11,2,46,9,367,366,29,0),
('WK00000499',0,11,2,46,9,367,366,29,0),
('WK00000496',12,11,3,48,12,367,366,29,64),
('WK00000496',12,11,3,48,12,367,366,29,64),
('WK00000496',12,11,3,48,12,367,366,29,64),
('WK00000496',12,11,3,48,12,367,366,29,64),
('WK00000496',12,11,3,48,12,367,366,29,64),
('WK00000496',12,11,0,189,12,367,366,32,64),
('WK00000422',6,11,3,218,17,367,366,30,49),
('WK00000433',4,14,2,60,12,367,366,31,22),
('WK00000433',4,14,2,215,12,367,366,30,22),
('WK00000433',4,14,2,60,12,367,366,31,22),
('WK00000433',4,14,2,101,12,367,366,29,22),
('WK00000433',4,14,2,59,12,367,366,31,22),
('WK00000433',4,14,2,101,12,367,366,29,22),
('WK00000433',4,14,2,59,12,367,366,31,22),
('WK00000433',4,14,2,101,12,367,366,29,22),
('WK00000434',4,14,0,106,11,367,366,32,37),
('WK00000444',3,4,3,240,17,367,366,31,23),
('WK00000444',3,4,3,214,17,367,366,30,23),
('WK00000444',3,4,3,154,17,367,366,29,23),
('WK00000446',0,11,2,60,25,367,366,31,6),
('WK00000446',0,11,2,60,25,367,366,31,6),
('WK00000446',0,11,2,211,25,367,366,32,6),
('WK00000446',0,11,2,60,25,367,366,31,6),
('WK00000446',0,11,2,101,25,367,366,29,6),
('WK00000446',0,11,2,60,25,367,366,31,6),
('WK00000446',0,11,2,60,25,367,366,31,6),
('WK00000446',0,11,2,101,25,367,366,29,6),
('WK00000449',4,5,0,232,16,367,366,31,35),
('WK00000449',4,5,0,130,16,367,366,30,35),
('WK00000449',4,5,0,48,16,367,366,29,35),
('WK00000454',12,11,0,130,23,367,366,30,36),
('WK00000454',12,11,0,109,23,367,366,32,36),
('WK00000454',12,11,0,48,23,367,366,29,36),
('WK00000519',11,,1,191,0,367,366,32,51),
('WK00000519',11,,1,196,0,367,366,30,51),
('WK00000519',11,,1,60,0,367,366,31,51),
('WK00000519',11,,1,60,0,367,366,31,51),
('WK00000519',11,,1,48,0,367,366,29,51),
('WK00000519',11,,1,48,0,367,366,29,51),
('WK00000519',11,,1,33,0,367,366,29,51),
('WK00000470',8,8,0,126,25,367,366,30,30),
('WK00000470',8,8,0,182,25,367,366,31,30),
('WK00000203',3,,2,150,20,367,366,29,43),
('WK00000203',3,,2,150,20,367,366,29,43)
